station,time_min,amplitude_mean,amplitude_std,amplitude_max,amplitude_min,amplitude_count,channel
CSS,2023-06-29 00:00:00+00:00,-59.395715,651.441023,743.485358,-5195.616622,180,HHE
CSS,2023-06-29 00:01:00+00:00,-5.928761,356.069821,1242.126602,-1182.401526,180,HHE
CSS,2023-06-29 00:02:00+00:00,-23.647658,268.893403,771.044335,-729.046318,180,HHE
CSS,2023-06-29 00:03:00+00:00,18.736225,288.862222,930.585346,-985.367166,180,HHE
CSS,2023-06-29 00:04:00+00:00,-19.237928,269.664331,787.607885,-1039.387614,180,HHE
CSS,2023-06-29 00:05:00+00:00,16.209843,267.82116,1003.661935,-712.491189,180,HHE
CSS,2023-06-29 00:06:00+00:00,-14.095697,297.346565,949.720321,-637.434515,180,HHE
CSS,2023-06-29 00:07:00+00:00,39.597958,282.037035,1035.338685,-893.892312,180,HHE
CSS,2023-06-29 00:08:00+00:00,12.650483,260.968377,853.509986,-708.554219,180,HHE
CSS,2023-06-29 00:09:00+00:00,-0.116286,285.489563,739.946225,-728.533156,180,HHE
CSS,2023-06-29 00:10:00+00:00,-17.150177,274.925294,712.945729,-751.03417,180,HHE
CSS,2023-06-29 00:11:00+00:00,39.81463,333.863392,891.048342,-857.02163,180,HHE
CSS,2023-06-29 00:12:00+00:00,22.728361,292.075565,774.684373,-937.199773,180,HHE
CSS,2023-06-29 00:13:00+00:00,-15.190881,291.810827,793.364348,-950.100144,180,HHE
CSS,2023-06-29 00:14:00+00:00,29.191614,272.440294,777.502123,-885.884879,180,HHE
CSS,2023-06-29 00:15:00+00:00,-27.995233,306.624004,959.02858,-1030.712292,180,HHE
CSS,2023-06-29 00:16:00+00:00,-13.118726,310.076904,857.413317,-1195.413608,180,HHE
CSS,2023-06-29 00:17:00+00:00,-16.585596,283.503601,684.820688,-933.11505,180,HHE
CSS,2023-06-29 00:18:00+00:00,-1.147431,274.075486,803.097066,-843.667737,180,HHE
CSS,2023-06-29 00:19:00+00:00,9.790616,299.976757,842.698191,-815.983164,180,HHE
CSS,2023-06-29 00:20:00+00:00,6.896219,362.780975,1062.891928,-1518.701414,180,HHE
CSS,2023-06-29 00:21:00+00:00,35.686049,283.312178,1027.602256,-889.864914,180,HHE
CSS,2023-06-29 00:22:00+00:00,-11.420552,260.816845,897.03823,-677.647883,180,HHE
CSS,2023-06-29 00:23:00+00:00,8.049189,312.341536,854.805504,-1081.211744,180,HHE
CSS,2023-06-29 00:24:00+00:00,-8.974973,313.060313,764.179339,-838.393536,180,HHE
CSS,2023-06-29 00:25:00+00:00,-37.033619,280.890702,753.063252,-801.333229,180,HHE
CSS,2023-06-29 00:26:00+00:00,-26.499666,280.638378,960.276159,-955.371724,180,HHE
CSS,2023-06-29 00:27:00+00:00,16.003317,282.140958,681.082933,-710.958256,180,HHE
CSS,2023-06-29 00:28:00+00:00,6.874851,293.562236,849.380251,-817.214883,180,HHE
CSS,2023-06-29 00:29:00+00:00,-33.827318,324.640147,792.163703,-1297.273952,180,HHE
CSS,2023-06-29 00:30:00+00:00,4.824872,341.464079,1034.433333,-1043.232098,180,HHE
CSS,2023-06-29 00:31:00+00:00,22.580019,294.516232,994.195802,-791.851531,180,HHE
CSS,2023-06-29 00:32:00+00:00,-8.884756,291.730647,834.734122,-762.376811,180,HHE
CSS,2023-06-29 00:33:00+00:00,35.25435,308.324591,951.735825,-1217.823775,180,HHE
CSS,2023-06-29 00:34:00+00:00,24.358008,340.825195,1034.328505,-1284.103685,180,HHE
CSS,2023-06-29 00:35:00+00:00,13.366804,360.789866,1093.8358,-826.819681,180,HHE
CSS,2023-06-29 00:36:00+00:00,-2.117576,276.534371,771.110257,-1045.639454,180,HHE
CSS,2023-06-29 00:37:00+00:00,-19.76268,354.41609,1296.364095,-1350.695435,180,HHE
CSS,2023-06-29 00:38:00+00:00,4.144676,317.171819,922.265907,-1013.550144,180,HHE
CSS,2023-06-29 00:39:00+00:00,2.036451,351.973386,1330.268527,-945.368098,180,HHE
CSS,2023-06-29 00:40:00+00:00,4.478766,355.686481,863.979871,-1254.95074,180,HHE
CSS,2023-06-29 00:41:00+00:00,-26.3987,343.598712,706.87158,-1335.973294,180,HHE
CSS,2023-06-29 00:42:00+00:00,7.089713,319.898521,1007.803908,-977.418117,180,HHE
CSS,2023-06-29 00:43:00+00:00,-52.421058,313.6624,954.870499,-939.573798,180,HHE
CSS,2023-06-29 00:44:00+00:00,-9.854444,339.247869,1280.623435,-940.552014,180,HHE
CSS,2023-06-29 00:45:00+00:00,16.366338,325.311552,1108.578181,-793.038127,180,HHE
CSS,2023-06-29 00:46:00+00:00,26.380839,305.447603,1156.157763,-912.338909,180,HHE
CSS,2023-06-29 00:47:00+00:00,17.596892,279.192278,820.508057,-1013.634306,180,HHE
CSS,2023-06-29 00:48:00+00:00,8.726338,313.687113,1154.603049,-877.796795,180,HHE
CSS,2023-06-29 00:49:00+00:00,-21.916018,320.827008,1048.109379,-890.597002,180,HHE
CSS,2023-06-29 00:50:00+00:00,6.176409,301.750214,982.933947,-1007.667133,180,HHE
CSS,2023-06-29 00:51:00+00:00,5.70966,326.097912,738.854419,-875.127458,180,HHE
CSS,2023-06-29 00:52:00+00:00,-9.376756,293.113217,1115.366501,-867.407391,180,HHE
CSS,2023-06-29 00:53:00+00:00,-11.375892,307.420346,771.677286,-884.060524,180,HHE
CSS,2023-06-29 00:54:00+00:00,13.314767,303.706765,954.193765,-835.652937,180,HHE
CSS,2023-06-29 00:55:00+00:00,-28.344454,318.289563,814.42516,-1128.257111,180,HHE
CSS,2023-06-29 00:56:00+00:00,-3.253469,345.448415,1424.668474,-1118.328489,180,HHE
CSS,2023-06-29 00:57:00+00:00,1.899629,326.199115,855.178235,-939.343398,180,HHE
CSS,2023-06-29 00:58:00+00:00,1.763758,341.855566,1186.472894,-1315.90313,180,HHE
CSS,2023-06-29 00:59:00+00:00,10.351048,227.556137,550.128208,-517.229785,180,HHE
CSS,2023-06-29 01:00:00+00:00,26.437767,275.918348,724.188521,-737.632754,180,HHE
CSS,2023-06-29 01:01:00+00:00,15.289017,261.609933,866.570261,-806.992185,180,HHE
CSS,2023-06-29 01:02:00+00:00,-20.554249,363.462989,1122.171916,-1028.245076,180,HHE
CSS,2023-06-29 01:03:00+00:00,27.52453,309.284651,994.503693,-708.497523,180,HHE
CSS,2023-06-29 01:04:00+00:00,-19.397287,274.308491,642.65468,-689.945899,180,HHE
CSS,2023-06-29 01:05:00+00:00,-0.119822,277.219241,659.90552,-836.984028,180,HHE
CSS,2023-06-29 01:06:00+00:00,20.497656,309.68599,1093.423182,-918.13548,180,HHE
CSS,2023-06-29 01:07:00+00:00,35.274521,331.839875,983.205563,-950.378269,180,HHE
CSS,2023-06-29 01:08:00+00:00,18.767757,316.037931,868.523729,-970.029307,180,HHE
CSS,2023-06-29 01:09:00+00:00,2.135805,316.847861,792.701396,-867.116609,180,HHE
CSS,2023-06-29 01:10:00+00:00,15.53408,324.711395,819.264515,-1150.768356,180,HHE
CSS,2023-06-29 01:11:00+00:00,-37.337899,299.76971,746.003784,-1079.173327,180,HHE
CSS,2023-06-29 01:12:00+00:00,-7.777965,300.788816,918.300281,-856.291976,180,HHE
CSS,2023-06-29 01:13:00+00:00,-4.300005,302.745462,807.416433,-762.679434,180,HHE
CSS,2023-06-29 01:14:00+00:00,42.918139,385.948242,1417.499039,-885.664188,180,HHE
CSS,2023-06-29 01:15:00+00:00,-63.942115,349.758013,999.555253,-975.997491,180,HHE
CSS,2023-06-29 01:16:00+00:00,12.904953,295.640555,902.128338,-1028.564766,180,HHE
CSS,2023-06-29 01:17:00+00:00,26.392092,262.804973,705.07586,-791.068425,180,HHE
CSS,2023-06-29 01:18:00+00:00,24.204145,272.031385,910.869955,-879.077676,180,HHE
CSS,2023-06-29 01:19:00+00:00,-7.844351,263.211797,617.270769,-915.071882,180,HHE
CSS,2023-06-29 01:20:00+00:00,-2.716925,260.491521,877.964817,-659.094189,180,HHE
CSS,2023-06-29 01:21:00+00:00,25.846559,284.761874,799.425091,-1054.906192,180,HHE
CSS,2023-06-29 01:22:00+00:00,19.461959,282.103862,900.445853,-577.527051,180,HHE
CSS,2023-06-29 01:23:00+00:00,-2.207525,269.827365,581.651218,-841.661348,180,HHE
CSS,2023-06-29 01:24:00+00:00,62.684041,268.451827,1003.305268,-645.101387,180,HHE
CSS,2023-06-29 01:25:00+00:00,-58.455043,269.632662,641.561715,-936.188865,180,HHE
CSS,2023-06-29 01:26:00+00:00,-6.895922,270.48672,770.150946,-641.085909,180,HHE
CSS,2023-06-29 01:27:00+00:00,16.929501,312.885464,935.545413,-832.192528,180,HHE
CSS,2023-06-29 01:28:00+00:00,35.130425,306.934998,1150.558901,-1127.515826,180,HHE
CSS,2023-06-29 01:29:00+00:00,-26.076293,262.803638,821.778662,-863.865803,180,HHE
CSS,2023-06-29 01:30:00+00:00,0.718983,280.775823,913.400099,-841.341044,180,HHE
