station,time_min,amplitude_mean,amplitude_std,amplitude_max,amplitude_min,amplitude_count,channel
BLE,2019-10-21 23:59:00+00:00,502.556081,933.018306,1162.299652,-157.187491,2,EHZ
BLE,2019-10-22 00:00:00+00:00,-2.22692,721.839055,1515.128068,-1861.21605,60,EHZ
BLE,2019-10-22 00:01:00+00:00,117.428116,679.602978,1561.99981,-1414.530179,60,EHZ
BLE,2019-10-22 00:02:00+00:00,-223.118314,628.708278,716.650308,-2173.593331,60,EHZ
BLE,2019-10-22 00:03:00+00:00,-176.516394,717.456177,1703.995386,-1873.166993,60,EHZ
BLE,2019-10-22 00:04:00+00:00,-0.129691,628.073116,1332.563495,-1519.922443,60,EHZ
BLE,2019-10-22 00:05:00+00:00,-114.744389,741.424807,1635.217073,-1834.815799,60,EHZ
BLE,2019-10-22 00:06:00+00:00,224.221387,768.562231,1994.585079,-1204.01298,60,EHZ
BLE,2019-10-22 00:07:00+00:00,-87.74618,642.287927,1331.687428,-2001.699765,60,EHZ
BLE,2019-10-22 00:08:00+00:00,188.570887,797.920766,2074.105787,-1699.034059,60,EHZ
BLE,2019-10-22 00:09:00+00:00,-61.045393,711.802358,2189.24692,-1627.638569,60,EHZ
BLE,2019-10-22 00:10:00+00:00,25.021219,774.247647,1699.663653,-2010.081264,60,EHZ
BLE,2019-10-22 00:11:00+00:00,203.353088,853.835399,2444.214539,-1420.928088,60,EHZ
BLE,2019-10-22 00:12:00+00:00,145.548432,835.236861,2855.975264,-1551.769983,60,EHZ
BLE,2019-10-22 00:13:00+00:00,185.037838,756.252015,2305.859496,-1322.204681,60,EHZ
BLE,2019-10-22 00:14:00+00:00,-21.893517,714.72505,1947.66459,-1490.371427,60,EHZ
BLE,2019-10-22 00:15:00+00:00,110.194778,709.070884,1573.002765,-1328.679378,60,EHZ
BLE,2019-10-22 00:16:00+00:00,38.040189,872.51533,1769.385335,-2382.95968,60,EHZ
BLE,2019-10-22 00:17:00+00:00,-117.293408,699.903181,1752.350788,-1746.295334,60,EHZ
BLE,2019-10-22 00:18:00+00:00,-36.051919,701.070686,1790.171606,-1362.515576,60,EHZ
BLE,2019-10-22 00:19:00+00:00,-13.596891,772.123702,1515.827588,-1455.518296,60,EHZ
BLE,2019-10-22 00:20:00+00:00,-64.959255,825.2441,1765.736137,-2062.476042,60,EHZ
BLE,2019-10-22 00:21:00+00:00,50.451541,846.170116,1678.114858,-1557.653469,60,EHZ
BLE,2019-10-22 00:22:00+00:00,78.113531,801.321874,1951.595209,-1908.794693,60,EHZ
BLE,2019-10-22 00:23:00+00:00,1.477628,664.181539,1724.534458,-1611.381383,60,EHZ
BLE,2019-10-22 00:24:00+00:00,-85.277109,717.130465,1722.665499,-1433.862195,60,EHZ
BLE,2019-10-22 00:25:00+00:00,-74.491211,686.458922,1555.569116,-1849.22152,60,EHZ
BLE,2019-10-22 00:26:00+00:00,-19.225731,628.696231,1544.266913,-1519.677039,60,EHZ
BLE,2019-10-22 00:27:00+00:00,45.730154,641.231413,1283.609813,-1574.108086,60,EHZ
BLE,2019-10-22 00:28:00+00:00,-8.545226,785.429545,2542.640437,-1344.231094,60,EHZ
BLE,2019-10-22 00:29:00+00:00,-64.642132,680.673564,1331.702876,-2154.862617,60,EHZ
BLE,2019-10-22 00:30:00+00:00,42.870596,706.081952,1521.723886,-2129.853412,60,EHZ
BLE,2019-10-22 00:31:00+00:00,-75.006646,711.301931,1459.343686,-1821.824051,60,EHZ
BLE,2019-10-22 00:32:00+00:00,104.793229,769.426916,1532.982456,-1384.884065,60,EHZ
BLE,2019-10-22 00:33:00+00:00,182.885273,767.033466,1662.055489,-2021.632348,60,EHZ
BLE,2019-10-22 00:34:00+00:00,241.00456,736.922216,1730.011601,-1144.885672,60,EHZ
BLE,2019-10-22 00:35:00+00:00,-30.174308,705.633859,1820.185378,-1625.279958,60,EHZ
BLE,2019-10-22 00:36:00+00:00,126.065466,630.816161,1699.01992,-1280.370342,60,EHZ
BLE,2019-10-22 00:37:00+00:00,72.964475,693.327684,1771.59421,-1623.329844,60,EHZ
BLE,2019-10-22 00:38:00+00:00,277.857503,625.582275,1991.317589,-1044.857008,60,EHZ
BLE,2019-10-22 00:39:00+00:00,-0.153042,824.8302,2222.24302,-1818.679587,60,EHZ
BLE,2019-10-22 00:40:00+00:00,-65.243428,782.83389,1615.727697,-1255.980565,60,EHZ
BLE,2019-10-22 00:41:00+00:00,-171.08641,786.305683,1312.259408,-2320.788111,60,EHZ
BLE,2019-10-22 00:42:00+00:00,-60.72355,712.553803,1514.10262,-1918.513202,60,EHZ
BLE,2019-10-22 00:43:00+00:00,120.030685,683.53657,2074.260771,-1330.757028,60,EHZ
BLE,2019-10-22 00:44:00+00:00,42.403642,704.208287,1484.595019,-1543.983838,60,EHZ
BLE,2019-10-22 00:45:00+00:00,-35.942336,843.947367,2089.928913,-1476.366604,60,EHZ
BLE,2019-10-22 00:46:00+00:00,-158.565572,693.091056,1440.704279,-1357.466185,60,EHZ
BLE,2019-10-22 00:47:00+00:00,146.80259,732.449187,2146.750829,-1783.962666,60,EHZ
BLE,2019-10-22 00:48:00+00:00,23.537467,709.291457,1576.508463,-2174.760806,60,EHZ
BLE,2019-10-22 00:49:00+00:00,24.602836,776.87912,2092.041752,-1466.174563,60,EHZ
BLE,2019-10-22 00:50:00+00:00,-30.280518,718.79757,1296.050251,-2294.064546,60,EHZ
BLE,2019-10-22 00:51:00+00:00,-63.125099,776.853269,1340.739745,-2348.85075,60,EHZ
BLE,2019-10-22 00:52:00+00:00,-54.432052,843.826952,2373.000272,-1879.226723,60,EHZ
BLE,2019-10-22 00:53:00+00:00,13.724544,836.83139,2032.044305,-1684.116226,60,EHZ
BLE,2019-10-22 00:54:00+00:00,-88.184206,683.444828,1697.073786,-1785.711033,60,EHZ
BLE,2019-10-22 00:55:00+00:00,118.550809,974.952493,3528.681998,-1917.200594,60,EHZ
