station,time_min,amplitude_mean,amplitude_std,amplitude_max,amplitude_min,amplitude_count,channel
BON,2015-08-20 19:49:00+00:00,-104.164264,567.187075,307.582369,-3873.56622,55,HHE
BON,2015-08-20 19:50:00+00:00,-16.536184,124.669733,491.166039,-439.811783,180,HHE
BON,2015-08-20 19:51:00+00:00,-0.372343,113.070997,455.832176,-282.567982,180,HHE
BON,2015-08-20 19:52:00+00:00,-2.092064,114.095451,296.004732,-344.269072,180,HHE
BON,2015-08-20 19:53:00+00:00,5.152706,116.741045,341.695289,-294.82807,180,HHE
BON,2015-08-20 19:54:00+00:00,-8.403905,110.595729,355.12748,-394.57735,180,HHE
BON,2015-08-20 19:55:00+00:00,-2.603095,117.79269,326.370234,-451.039886,180,HHE
BON,2015-08-20 19:56:00+00:00,-2.860999,109.259654,446.043696,-309.770816,180,HHE
BON,2015-08-20 19:57:00+00:00,-1.48152,112.282634,389.923161,-455.416296,180,HHE
BON,2015-08-20 19:58:00+00:00,-16.752124,405.722282,477.910854,-5152.287687,180,HHE
BON,2015-08-20 19:59:00+00:00,-14.406928,99.526428,271.17511,-270.624201,180,HHE
BON,2015-08-20 20:00:00+00:00,-4.809354,101.805541,318.794985,-299.89105,180,HHE
BON,2015-08-20 20:01:00+00:00,6.004448,105.514341,538.171548,-351.256034,180,HHE
BON,2015-08-20 20:02:00+00:00,4.593046,128.313075,394.951162,-503.265898,180,HHE
BON,2015-08-20 20:03:00+00:00,2.777143,104.567789,358.882967,-308.35447,180,HHE
BON,2015-08-20 20:04:00+00:00,4.101945,100.870177,334.919463,-288.246102,180,HHE
BON,2015-08-20 20:05:00+00:00,2.805377,114.005771,390.197054,-358.194775,180,HHE
BON,2015-08-20 20:06:00+00:00,-4.723826,114.246587,343.584329,-383.107409,180,HHE
BON,2015-08-20 20:07:00+00:00,-12.224338,116.841318,375.638608,-487.512349,180,HHE
BON,2015-08-20 20:08:00+00:00,-0.956277,108.91891,443.122467,-311.291954,180,HHE
BON,2015-08-20 20:09:00+00:00,3.122053,119.281689,360.303859,-661.433743,180,HHE
BON,2015-08-20 20:10:00+00:00,-4.738419,126.657026,473.78154,-324.521978,180,HHE
BON,2015-08-20 20:11:00+00:00,5.326018,91.282133,252.17791,-242.739179,180,HHE
BON,2015-08-20 20:12:00+00:00,12.289554,121.317528,402.143747,-342.737132,180,HHE
BON,2015-08-20 20:13:00+00:00,8.766445,115.117984,337.077112,-343.423207,180,HHE
BON,2015-08-20 20:14:00+00:00,-3.725191,99.326945,208.147495,-363.574812,180,HHE
BON,2015-08-20 20:15:00+00:00,8.940077,101.682818,345.390798,-331.036685,180,HHE
BON,2015-08-20 20:16:00+00:00,11.939937,119.627658,428.11117,-345.620082,180,HHE
BON,2015-08-20 20:17:00+00:00,-11.28537,120.221462,308.985516,-589.618597,180,HHE
BON,2015-08-20 20:18:00+00:00,12.488707,101.482214,362.071436,-351.33597,180,HHE
BON,2015-08-20 20:19:00+00:00,-10.51905,123.58634,301.884383,-437.697817,180,HHE
BON,2015-08-20 20:20:00+00:00,17.865569,116.854078,402.873256,-331.882224,180,HHE
BON,2015-08-20 20:21:00+00:00,0.182534,94.726058,260.785037,-323.704703,180,HHE
BON,2015-08-20 20:22:00+00:00,-3.441829,103.693054,298.426434,-235.640581,180,HHE
BON,2015-08-20 20:23:00+00:00,0.584114,105.004845,374.308994,-383.943037,180,HHE
BON,2015-08-20 20:24:00+00:00,6.845843,121.165124,397.327361,-414.629184,180,HHE
BON,2015-08-20 20:25:00+00:00,-12.817454,121.525935,365.757775,-470.917296,180,HHE
BON,2015-08-20 20:26:00+00:00,6.564761,131.904857,481.532315,-405.848205,180,HHE
BON,2015-08-20 20:27:00+00:00,-1.766371,107.460679,268.163678,-319.838341,180,HHE
BON,2015-08-20 20:28:00+00:00,0.150246,129.483025,527.144911,-435.783565,180,HHE
BON,2015-08-20 20:29:00+00:00,6.138266,118.963487,432.271993,-304.748678,180,HHE
BON,2015-08-20 20:30:00+00:00,10.837483,124.330088,474.424096,-349.445222,180,HHE
BON,2015-08-20 20:31:00+00:00,-0.821092,111.368238,348.573775,-447.034965,180,HHE
BON,2015-08-20 20:32:00+00:00,-12.241169,112.302197,355.06642,-344.772375,180,HHE
BON,2015-08-20 20:33:00+00:00,4.053705,121.000209,344.568341,-297.078574,180,HHE
BON,2015-08-20 20:34:00+00:00,0.861497,107.197983,396.683378,-310.81812,180,HHE
BON,2015-08-20 20:35:00+00:00,9.438062,101.555224,293.903079,-319.450885,180,HHE
BON,2015-08-20 20:36:00+00:00,3.796629,114.331437,377.48108,-316.941337,180,HHE
BON,2015-08-20 20:37:00+00:00,-5.03369,112.01533,334.484041,-352.051837,180,HHE
BON,2015-08-20 20:38:00+00:00,-8.217116,123.373812,557.456326,-558.080331,180,HHE
BON,2015-08-20 20:39:00+00:00,15.551665,105.657529,347.340786,-312.986149,180,HHE
BON,2015-08-20 20:40:00+00:00,-19.333909,115.118232,425.894147,-459.575027,180,HHE
BON,2015-08-20 20:41:00+00:00,9.565172,101.431891,391.947794,-349.554497,180,HHE
BON,2015-08-20 20:42:00+00:00,-8.515606,111.003888,292.030024,-417.50685,180,HHE
BON,2015-08-20 20:43:00+00:00,-5.767026,102.942448,401.922227,-353.604672,180,HHE
BON,2015-08-20 20:44:00+00:00,16.205494,117.70864,409.628699,-371.609868,180,HHE
BON,2015-08-20 20:45:00+00:00,5.457262,109.086826,286.946527,-351.150692,180,HHE
BON,2015-08-20 20:46:00+00:00,-0.406314,107.767367,271.2897,-369.132742,180,HHE
BON,2015-08-20 20:47:00+00:00,-10.625568,108.860305,280.482037,-320.149532,180,HHE
BON,2015-08-20 20:48:00+00:00,-11.461875,128.983208,422.777459,-325.465164,180,HHE
BON,2015-08-20 20:49:00+00:00,3.913617,113.928485,342.562819,-289.729111,180,HHE
BON,2015-08-20 20:50:00+00:00,-11.691243,113.282708,404.940238,-395.739563,180,HHE
BON,2015-08-20 20:51:00+00:00,-2.802035,105.6458,302.138891,-373.316729,180,HHE
BON,2015-08-20 20:52:00+00:00,5.771006,104.822962,380.475505,-313.88635,180,HHE
BON,2015-08-20 20:53:00+00:00,0.570733,98.224978,304.847698,-291.634701,180,HHE
BON,2015-08-20 20:54:00+00:00,7.434153,106.444712,341.61661,-353.601708,180,HHE
BON,2015-08-20 20:55:00+00:00,5.974983,112.041381,374.969575,-307.805253,180,HHE
BON,2015-08-20 20:56:00+00:00,-10.661229,112.492913,319.333028,-300.729194,180,HHE
